Level,MenuLevel1,MenuLevel2,MenuLevel3,MenuLevel4,Menu ID,MenuName,Order Sequence,Type,Sub Type,SecCode,Level1Code,Level2Code,Level3Code
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Executive Analysis,,,,XAMN6001,Executive Analysis,51,S,,SEC469,SEC469,,
2,Executive Analysis,Business Activity Management,,,XABA1000,Business Activity Management,5,S,,SEC633,SEC469,SEC633,SEC633
3,Executive Analysis,Business Activity Management,General Operations,,XABA3000,General Operations,20,S,,SEC636,SEC469,SEC633,SEC636
4,Executive Analysis,Business Activity Management,General Operations,BAQ Report Designer,XABA3110,BAQ Report Designer,10,I,E,SEC806,SEC469,SEC633,SEC806
4,Executive Analysis,Business Activity Management,General Operations,Dashboard,XABA3020,Dashboard,25,I,E,SEC748,SEC469,SEC633,SEC748
4,Executive Analysis,Business Activity Management,General Operations,Executive Query,XABA3030,Executive Query,27,I,P,SEC684,SEC469,SEC633,SEC684
4,Executive Analysis,Business Activity Management,General Operations,Schedule Process Set,XABA3060,Schedule Process Set,29,I,P,SEC636,SEC469,SEC633,SEC636
4,Executive Analysis,Business Activity Management,General Operations,Task List,XABA3100,Task List,30,I,E,SEC565,SEC469,SEC633,SEC565
3,Executive Analysis,Business Activity Management,Reports,,XABA4000,Reports,30,S,,SEC6331,SEC469,SEC633,SEC6331
4,Executive Analysis,Business Activity Management,Reports,Change Log Report,XABA4110,Change Log Report,10,I,R,SEC6332,SEC469,SEC633,SEC6332
4,Executive Analysis,Business Activity Management,Reports,ESignature Audit Report,XABA4120,ESignature Audit Report,20,K,R,SEC6331,SEC469,SEC633,SEC6331
3,Executive Analysis,Business Activity Management,Setup,,XABA2000,Setup,10,S,,SEC1147,SEC469,SEC633,SEC1147
4,Executive Analysis,Business Activity Management,Setup,Business Activity Query,XABA3040,Business Activity Query,3,I,M,SEC386,SEC469,SEC633,SEC386
4,Executive Analysis,Business Activity Management,Setup,Process Set,XABA3050,Process Set,8,I,M,SEC1148,SEC469,SEC633,SEC1148
4,Executive Analysis,Business Activity Management,Setup,Task,XABA2100,Task,10,I,M,SEC548,SEC469,SEC633,SEC548
4,Executive Analysis,Business Activity Management,Setup,Task Set,CRBA2200,Task Set,20,I,M,SEC553,SEC469,SEC633,SEC553
4,Executive Analysis,Business Activity Management,Setup,Work Force,XABA2300,Work Force,30,I,M,SEC161,SEC469,SEC633,SEC161
4,Executive Analysis,Business Activity Management,Setup,Workflow Group,XABA2400,Workflow Group,40,I,M,SEC621,SEC469,SEC633,SEC621
4,Executive Analysis,Business Activity Management,Setup,Workflow Stage,XABA2500,Workflow Stage,50,I,M,SEC622,SEC469,SEC633,SEC622
2,Executive Analysis,ShopVision,,,SVMN0000,ShopVision,20,S,,SEC201,SEC469,SEC201,SEC201
3,Executive Analysis,ShopVision,Cash Flow,,SV1004,Cash Flow,10,I,T,SEC620,SEC469,SEC201,SEC620
3,Executive Analysis,ShopVision,Customer Shipping Performance,,SV10002,Customer Shipping Performance,20,I,T,SEC755,SEC469,SEC201,SEC755
3,Executive Analysis,ShopVision,Sales Backlog Analysis,,SV10003,Sales Backlog Analysis,30,I,T,SEC756,SEC469,SEC201,SEC756
3,Executive Analysis,ShopVision,Site Performance,,SV10004,Site Performance,24,I,T,SEC754,SEC469,SEC201,SEC754
3,Executive Analysis,ShopVision,Supplier Performance,,SV10001,Supplier Performance,40,I,T,SEC1120,SEC469,SEC201,SEC1120
2,Executive Analysis,Status Dashboards,,,XAMN8000,Status Dashboards,40,S,E,SEC669,SEC469,SEC669,SEC669
3,Executive Analysis,Status Dashboards,Job Status,,XAMN8010,Job Status,20,I,T,SEC707,SEC469,SEC669,SEC707
3,Executive Analysis,Status Dashboards,Opportunity / Quote Status,,XAMN8070,Opportunity / Quote Status,30,I,T,SEC710,SEC469,SEC669,SEC710
3,Executive Analysis,Status Dashboards,Part On Hand Status,,XAMN8035,Part On Hand Status,35,I,T,SEC670,SEC469,SEC669,SEC670
3,Executive Analysis,Status Dashboards,PO Receipt Status,,XAMN8020,PO Receipt Status,60,I,T,SEC708,SEC469,SEC669,SEC708
3,Executive Analysis,Status Dashboards,PO Status,,XAMN8030,PO Status,64,I,T,SEC697,SEC469,SEC669,SEC697
3,Executive Analysis,Status Dashboards,Sales Order Backlog Status,,XAMN8040,Sales Order Backlog Status,80,I,T,SEC699,SEC469,SEC669,SEC699
3,Executive Analysis,Status Dashboards,Sales Order Shipment Status,,XAMN8050,Sales Order Shipment Status,84,I,T,SEC700,SEC469,SEC669,SEC700
3,Executive Analysis,Status Dashboards,Sales Order Status,,XAMN8060,Sales Order Status,86,I,T,SEC698,SEC469,SEC669,SEC698
2,Executive Analysis,Trackers,,,XAMN7000,Trackers,30,S,,SEC484,SEC469,SEC484,SEC484
3,Executive Analysis,Trackers,AP Invoice Tracker,,SVTK1040,AP Invoice Tracker,5,I,T,SEC293,SEC469,SEC484,SEC293
3,Executive Analysis,Trackers,AP Payment Instrument Tracker,,SVTK2040,AP Payment Instrument Tracker,10,I,T,SEC1201,SEC469,SEC484,SEC1201
3,Executive Analysis,Trackers,AR Invoice Tracker,,SVTK1050,AR Invoice Tracker,20,I,T,SEC284,SEC469,SEC484,SEC284
3,Executive Analysis,Trackers,AR Payment Instrument Tracker,,SVTK1270,AR Payment Instrument Tracker,25,I,T,SEC1065,SEC469,SEC484,SEC1065
3,Executive Analysis,Trackers,Available To Promise,,SVTK1073,Available To Promise,45,I,T,SEC889,SEC469,SEC484,SEC889
3,Executive Analysis,Trackers,Bank Account Tracker,,APGO3122,Bank Account Tracker,50,I,T,SEC1295,SEC469,SEC484,SEC1295
3,Executive Analysis,Trackers,Buy To Order Tracker,,SVTK1110,Buy To Order Tracker,55,I,T,SEC1159,SEC469,SEC484,SEC1159
3,Executive Analysis,Trackers,Cash Flow,,XASV8080,Cash Flow,70,I,T,SEC620,SEC469,SEC484,SEC620
3,Executive Analysis,Trackers,Cash Receipt Tracker,,SVTK1120,Cash Receipt Tracker,57,I,T,SEC680,SEC469,SEC484,SEC680
3,Executive Analysis,Trackers,Chart Tracker,,SVTK1020,Chart Tracker,65,I,T,SEC430,SEC469,SEC484,SEC430
3,Executive Analysis,Trackers,Company Configuration Tracker,,SUTK1320,Company Configuration Tracker,71,I,T,SEC155-1,SEC469,SEC484,SEC155-1
3,Executive Analysis,Trackers,Configurator Designer Tracker,,SVTK1070,Configurator Designer Tracker,75,I,T,SEC393,SEC469,SEC484,SEC393
